  Description                data   r5     r3        r4_1   r4_0     r7     r1     r0
Before BRANCHES              0x00   0x00  0x0000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x00   0x00  0x0000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x01   0x00  0x1000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x01   0x00  0x1000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x02   0x00  0x2000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x02   0x00  0x2000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x03   0x00  0x3000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x03   0x00  0x3000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x04   0x00  0x4000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x04   0x00  0x4000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x05   0x00  0x5000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x05   0x00  0x5000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x06   0x00  0x6000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x06   0x00  0x6000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x07   0x00  0x7000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x07   0x00  0x7000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x08   0x00  0x8000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x08   0x00  0x8000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x09   0x00  0x9000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x09   0x00  0x9000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0a   0x00  0xa000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0a   0x00  0xa000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0b   0x00  0xb000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0b   0x00  0xb000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0c   0x00  0xc000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0c   0x00  0xc000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0d   0x00  0xd000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0d   0x00  0xd000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0e   0x00  0xe000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0e   0x00  0xe000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x0f   0x00  0xf000        0      1   -NA-   0x64   0x64
2nd BRANCH r0 >= r1          0x0f   0x00  0xf000        0      1   -NA-   0x64   0x64
Before BRANCHES              0x10   0x01  0x0000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x10   0x01  0x0000        1      2   0x63   0x00   0x63
Before BRANCHES              0x11   0x01  0x1000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x11   0x01  0x1000        1      2   0x63   0x00   0x63
Before BRANCHES              0x12   0x01  0x2000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x12   0x01  0x2000        1      2   0x63   0x00   0x63
Before BRANCHES              0x13   0x01  0x3000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x13   0x01  0x3000        1      2   0x63   0x00   0x63
Before BRANCHES              0x14   0x01  0x4000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x14   0x01  0x4000        1      2   0x63   0x00   0x63
Before BRANCHES              0x15   0x01  0x5000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x15   0x01  0x5000        1      2   0x63   0x00   0x63
Before BRANCHES              0x16   0x01  0x6000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x16   0x01  0x6000        1      2   0x63   0x00   0x63
Before BRANCHES              0x17   0x01  0x7000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x17   0x01  0x7000        1      2   0x63   0x00   0x63
Before BRANCHES              0x18   0x01  0x8000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x18   0x01  0x8000        1      2   0x63   0x00   0x63
Before BRANCHES              0x19   0x01  0x9000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x19   0x01  0x9000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1a   0x01  0xa000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1a   0x01  0xa000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1b   0x01  0xb000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1b   0x01  0xb000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1c   0x01  0xc000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1c   0x01  0xc000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1d   0x01  0xd000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1d   0x01  0xd000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1e   0x01  0xe000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1e   0x01  0xe000        1      2   0x63   0x00   0x63
Before BRANCHES              0x1f   0x01  0xf000        1      2   -NA-   0x64   0x63
END r0 < r1                  0x1f   0x01  0xf000        1      2   0x63   0x00   0x63
Before BRANCHES              0x20   0x02  0x0000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x20   0x02  0x0000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x21   0x02  0x1000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x21   0x02  0x1000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x22   0x02  0x2000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x22   0x02  0x2000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x23   0x02  0x3000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x23   0x02  0x3000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x24   0x02  0x4000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x24   0x02  0x4000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x25   0x02  0x5000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x25   0x02  0x5000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x26   0x02  0x6000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x26   0x02  0x6000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x27   0x02  0x7000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x27   0x02  0x7000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x28   0x02  0x8000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x28   0x02  0x8000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x29   0x02  0x9000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x29   0x02  0x9000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2a   0x02  0xa000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2a   0x02  0xa000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2b   0x02  0xb000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2b   0x02  0xb000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2c   0x02  0xc000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2c   0x02  0xc000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2d   0x02  0xd000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2d   0x02  0xd000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2e   0x02  0xe000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2e   0x02  0xe000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x2f   0x02  0xf000        2      3   -NA-   0x63   0x63
2nd BRANCH r0 >= r1          0x2f   0x02  0xf000        2      3   -NA-   0x63   0x63
Before BRANCHES              0x30   0x03  0x0000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x30   0x03  0x0000        3      4   0x62   0x00   0x62
Before BRANCHES              0x31   0x03  0x1000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x31   0x03  0x1000        3      4   0x62   0x00   0x62
Before BRANCHES              0x32   0x03  0x2000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x32   0x03  0x2000        3      4   0x62   0x00   0x62
Before BRANCHES              0x33   0x03  0x3000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x33   0x03  0x3000        3      4   0x62   0x00   0x62
Before BRANCHES              0x34   0x03  0x4000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x34   0x03  0x4000        3      4   0x62   0x00   0x62
Before BRANCHES              0x35   0x03  0x5000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x35   0x03  0x5000        3      4   0x62   0x00   0x62
Before BRANCHES              0x36   0x03  0x6000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x36   0x03  0x6000        3      4   0x62   0x00   0x62
Before BRANCHES              0x37   0x03  0x7000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x37   0x03  0x7000        3      4   0x62   0x00   0x62
Before BRANCHES              0x38   0x03  0x8000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x38   0x03  0x8000        3      4   0x62   0x00   0x62
Before BRANCHES              0x39   0x03  0x9000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x39   0x03  0x9000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3a   0x03  0xa000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3a   0x03  0xa000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3b   0x03  0xb000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3b   0x03  0xb000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3c   0x03  0xc000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3c   0x03  0xc000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3d   0x03  0xd000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3d   0x03  0xd000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3e   0x03  0xe000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3e   0x03  0xe000        3      4   0x62   0x00   0x62
Before BRANCHES              0x3f   0x03  0xf000        3      4   -NA-   0x63   0x62
END r0 < r1                  0x3f   0x03  0xf000        3      4   0x62   0x00   0x62
